NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
First State Bank of St. Peter,,426141,7216,www.fsbstpeter.com,62880,
FNBC Bank & Trust,State Bank of Illinois,608844,7219,www.fnbcbt.com,60525,
Farmers State Bank,,477648,7220,www.farmersstate.com,62363,
The Bank of Herrin,Carterville State and Savings Bank,835444,7222,WWW.BANKOFHERRIN.BANK,62948,
The Iuka State Bank,,233442,7227,www.iukabank.com,62881,
Longview Community Bank,The Farmers Bank of Mt. Pulaski,830645,7228,www.longviewcb.com,62548,
Farmers and Merchants State Bank of Bushnell,,321330,7232,www.bushnellbank.com,61422,
Ashton State Bank,,821643,7245,http://www.ashtonstatebank.com,51232,
Grinnell State Bank,,783246,7248,www.grinnell.bank,50112,
Sanborn Savings Bank,,595944,7253,www.sanbornbank.com,51248,
Bedford Loan & Deposit Bank,,696047,7255,www.bedfordbank.com,40006,
"Cumberland Security Bank, Inc.",The First State Bank,202514,7257,http://www.csbweb.com,42501,
Highpoint Community Bank,The Hastings City Bank,750341,7283,WWW.HIGHPOINTCOMMUNITYBANK.COM,49058,
Valley Premier Bank,State Bank of Hawley,1008955,7284,www.valleypremierbank.com,56549,
The Colorado Bank and Trust Company of La Junta,The Colorado Savings & Trust Company,285151,779,wwww.colobank.com,81050,
Rushford State Bank (Incorporated),,884657,7285,www.rushfordstatebank.com,55971,
Harvest Bank,State Bank of Kimball,28152,7287,www.harvestbank.com,55353,
Welcome State Bank,,215653,7289,www.welcomestatebank.com,56181,
Bank of Yazoo City,,118736,7300,http://www.bankofyazoo.com,39194,
The Jefferson Bank,The Jefferson County Bank of Fayette,703039,7308,www.thejeffersonbank.com,38703,
Unity Bank of Mississippi,Merchants & Farmers Bank,837840,7309,unityms.bank,38635,
Century Bank,Bank of Lucedale,58636,7311,centurybank.net,39452,
Mid America Bank,Meta State Bank,873259,7319,http://www.midambk.com,65101,
Independent Farmers Bank,Farmers Bank of Maysville,956152,7322,www.farmbank.net,64469,
The Citizens-Farmers Bank of Cole Camp,,385547,7323,www.citizensfarmersbank.com,65325,
Tri-County Trust Company,,835659,7325,www.tricountytrust.com,65254,
HomePride Bank,Bank of Mansfield,747051,7326,www.homepridebank.com,65704,
The Peoples Bank,,530655,784,www.tpb.bank,67124,
Thayer County Bank,,157155,7332,http://www.thayercountybank.com,68370,
Auburn State Bank,The Auburn State Bank,979151,7333,www.auburnstatebank.com,68305,
Homestead Bank,The Cozad State Bank,140157,7338,www.homestead.bank,69130,
The Citizens Bank of Clovis,,710859,7346,www.cbcnm.bank,88101,
InBank,International State Bank,209858,7347,www.inbank.com,87740,
First National Bank of Scotia,Glenville Bank,472616,7349,http://www.firstscotia.com,12302,
The Fidelity Bank,Bank of Fuquay,584920,7353,www.fidelitybanknc.com,27526,
Security First Bank of North Dakota,Security State Bank of New Salem,693952,7361,www.securityfirstbank.bank,58563,
Chickasaw Community Bank,First State Bank in Davidson,64552,7362,www.ccb.bank,73142,
Liberty National Bank,Bank of Elgin,68756,7363,www.WeAreLiberty.bank,73501,
Cowboy Bank,The Bank of Kremlin,883959,7366,www.cowboy.bank,73753,
"The First State Bank of Pond Creek, Oklahoma",,644057,7367,http://www.fsbpondcreek.com,73766,
Enterprise Bank of South Carolina,The Enterprise Bank,457426,7372,https://ebsc.bank,29081,
First State Bank of Burnet,,303653,7385,http://https://www.fsbburnet.com,78611,
First State Bank and Trust Company,First State Bank,1012251,7387,www.fsbcarthage.com,75633,
Alliance Bank,Sulphur Springs State Bank,176464,7391,www.alliancebank.com,75482,
Global One Bank,Chappell Hill Bank,748357,7392,www.globalonebank.com,77055,
Burke & Herbert Bank & Trust Company,,933621,7397,www.burkeandherbertbank.com,22314,
The Bank of Southside Virginia,"The Bank of Southside, Virginia",610128,7399,www.bsvnet.com,23830,
Lee Bank and Trust Company,,661223,7400,www.leebank24.com,24277,
Community First Bank,Boscobel State Bank,175140,7409,www.cfbank.com,53805,
Laona State Bank,,178150,7414,WWW.LAONASTATEBANK.COM,54541,
BLC Community Bank,Bank of Little Chute,578741,7419,www.blccb.com,54140,
The Greenwood's State Bank,Greenwoods State Bank,576644,7431,www.bankcmg.com,53717,
Wahoo State Bank,,662350,795,www.wahoostatebank.com,68066,
The Citizens Bank,The Citizens Bank of Aztec,961259,796,www.cbnm.com,87401,
The First Bank of Okarche,,918150,797,http://www.firstbankokarche.com,73762,
D. L. Evans Bank,"D. L. Evans & Company, Bankers",543262,7454,dlevans.com,83318,
Vermilion Valley Bank,State Bank of Piper City,666844,7455,www.vermilionvalleybank.com,60959,
First State Bank of Forrest,,980438,7456,http://wwwfsbforrest.com,61741,
Uinta Bank,Uinta County State Bank,85052,799,www.uintabank.com,82939,
Central Bank Illinois,"Central Trust & Savings Bank of Geneseo, Illinois",931038,7457,central-bank.com,61254,
Warren-Boynton State Bank,,837448,7461,www.wbsb.com,62670,
Farmers State Bank of Western Illinois,Farmers State Bank of Alpha,653433,7465,http://www.fsbwil.com,61413,
Anchor State Bank,,655530,7466,anchorstatebank.com,61720,
Anna State Bank,,691743,7467,https://www.annastate.com,62906,
State Bank of Cherry,,258539,7471,www.statebankofcherry.com,61317,
Sundance State Bank,,94755,801,www.sundancestate.bank,82729,
Goodfield State Bank,,936837,7478,www.goodfieldstatebank.com,61742,
Shelby County State Bank,,235446,7481,www.scs-bank.com,62565,
